date,subways_total_estimated,subways_of_comparable_pre,buses_total_estimated,buses_of_comparable_pre,lirr_total_estimated_ridership,lirr_of_2019_monthly_weekday,metro_north_total_estimated,metro_north_of_2019_monthly,access_a_ride_total_scheduled,access_a_ride_of_comprable,bridges_and_tunnels_total,bridges_and_tunnels_of
2021-09-14,2506080.285714286,0.5231428571428572,1183239.857142857,0.5884285714285715,125428.57142857143,0.5728571428571428,100485.71428571429,0.5157142857142857,19911.85714285714,0.7485714285714286,920423.5714285715,0.9699999999999999
2021-09-13,2394726.285714286,0.511,1124843.7142857143,0.5734285714285715,124385.71428571429,0.57,99514.28571428571,0.5128571428571429,19627.714285714286,0.7464285714285714,919620.1428571428,0.9661428571428571
2021-09-12,2203929.8571428573,0.5367142857142857,1023762.4285714285,0.5970000000000001,114400,0.6157142857142857,89342.85714285714,0.4742857142857143,17939,0.7864285714285715,905056.8571428572,0.982
2021-09-11,2178963.8571428573,0.5291428571428571,1012914,0.5891428571428572,113542.85714285714,0.6071428571428571,87371.42857142857,0.45,17895,0.7828571428571428,895390.5714285715,0.9747142857142856
2021-09-10,2149602.4285714286,0.5258571428571429,1007723.2857142857,0.5882857142857143,113914.28571428571,0.61,86200,0.43714285714285717,17939.571428571428,0.7891428571428571,896769.7142857143,0.9758571428571428
2021-09-09,2085177,0.5264285714285715,993328.7142857143,0.594857142857143,112328.57142857143,0.6057142857142856,83971.42857142857,0.42857142857142855,17875,0.7982857142857143,899529.7142857143,0.976
2021-09-08,1936046.5714285714,0.5064285714285715,984700.1428571428,0.6020000000000001,107485.71428571429,0.59,NA,NA,17521.571428571428,0.7978571428571428,890973.2857142857,0.961
2021-09-07,1902354,0.5038571428571429,969450.5714285715,0.6005714285714286,105014.28571428571,0.5814285714285714,NA,NA,17310.714285714286,0.7957142857142857,878835.1428571428,0.947
2021-09-06,1945140.4285714286,0.5132857142857142,990035,0.6130000000000001,104442.85714285714,0.5785714285714285,NA,NA,17536.571428571428,0.8054285714285714,883661,0.9537142857142857
2021-09-05,2059760.5714285714,0.4838571428571429,1054172.2857142857,0.5895714285714286,112114.28571428571,0.5242857142857142,NA,NA,18843.285714285714,0.7628571428571429,897692.5714285715,0.9377142857142857
2021-09-04,2057439,0.48285714285714293,1055837.857142857,0.5911428571428571,111800,0.5214285714285715,NA,NA,18790,0.76,906021.8571428572,0.947
2021-09-03,2040489.2857142857,0.4771428571428572,1047556.8571428572,0.5850000000000001,109542.85714285714,0.5014285714285714,NA,NA,18701.14285714286,0.7545714285714286,900726.8571428572,0.9414285714285714
2021-09-02,2040169.2857142857,0.47700000000000004,1036925.5714285715,0.5797142857142857,106671.42857142857,0.49142857142857144,NA,NA,18504.85714285714,0.7472857142857143,894802.4285714285,0.9357142857142857
2021-09-01,2157448.4285714286,0.4992857142857143,1041790.5714285715,0.5821428571428572,109028.57142857143,0.49857142857142855,82771.42857142857,0.4342857142857143,18631.85714285714,0.7517142857142858,909000.8571428572,0.9497142857142856
2021-08-31,2186651.4285714286,0.505,1063246.857142857,0.5927142857142857,110314.28571428571,0.5028571428571429,83157.14285714286,0.4357142857142857,18985.14285714286,0.7638571428571429,929855.5714285715,0.9718571428571429
2021-08-30,2176570.285714286,0.503,1061592.7142857143,0.5918571428571429,109885.71428571429,0.5014285714285714,82928.57142857143,0.4357142857142857,18978.714285714286,0.7635714285714286,930820.4285714285,0.9728571428571428
2021-08-29,2138146.8571428573,0.49514285714285716,1040147.5714285715,0.5808571428571428,106800,0.49142857142857144,81085.71428571429,0.42857142857142855,18919.428571428572,0.7612857142857143,918041.7142857143,0.9591428571428571
2021-08-28,2044598,0.46071428571428574,1002856.8571428572,0.5455714285714286,100900,0.42714285714285716,75657.14285714286,0.36142857142857143,18408.14285714286,0.7374285714285714,860731.5714285715,0.8925714285714285
2021-08-27,2052504.2857142857,0.46385714285714286,1009407,0.548,101442.85714285714,0.4328571428571429,76485.71428571429,0.37,18449,0.7388571428571429,868022.7142857143,0.894
2021-08-26,2062264.5714285714,0.4662857142857143,1014558.2857142857,0.5551428571428572,102142.85714285714,0.4357142857142857,77771.42857142857,0.3742857142857143,18483.285714285714,0.7387142857142858,867519.7142857143,0.8964285714285714
2021-08-25,2056459.2857142857,0.46742857142857147,1010469.5714285715,0.5571428571428572,101471.42857142857,0.4342857142857143,78057.14285714286,0.3757142857142857,18450.428571428572,0.7362857142857143,865884.1428571428,0.8979999999999999
2021-08-24,2048901.5714285714,0.4675714285714286,1006815,0.5572857142857143,100014.28571428571,0.43,78714.28571428571,0.37857142857142856,18359.571428571428,0.7327142857142858,860289.2857142857,0.891
2021-08-23,2043942.4285714286,0.468,1003207.7142857143,0.5574285714285715,98600,0.4257142857142857,79471.42857142857,0.38142857142857145,18297.571428571428,0.73,855467.1428571428,0.8842857142857142
2021-08-22,2077608.857142857,0.4755714285714286,1022839.7142857143,0.5684285714285714,100585.71428571429,0.43285714285714283,81771.42857142857,0.39,18480.14285714286,0.7345714285714287,868199.2857142857,0.8957142857142857
2021-08-21,2175440.285714286,0.5197142857142857,1064619.5714285714,0.6074285714285715,107085.71428571429,0.5028571428571429,87242.85714285714,0.4585714285714286,19111,0.769,929478.4285714285,0.9642857142857142
2021-08-20,2175695,0.5208571428571428,1063117.5714285714,0.606,107500,0.5057142857142857,86628.57142857143,0.45285714285714285,19126.85714285714,0.7694285714285715,924256.8571428572,0.9641428571428571
2021-08-19,2171937.8571428573,0.5181428571428571,1063991.5714285714,0.602857142857143,107385.71428571429,0.5042857142857142,85542.85714285714,0.44857142857142857,19110.428571428572,0.7687142857142857,924838.1428571428,0.9652857142857142
2021-08-18,2173203.285714286,0.5155714285714286,1068176,0.6021428571428571,107714.28571428571,0.5057142857142857,85228.57142857143,0.4471428571428572,19194.571428571428,0.7697142857142857,928622.8571428572,0.969
