region,date,isoweek,total_claims,date_2019,total_claims_2019,rolling_avg_claims,pct_change_19_now,Unemployment Claims Index Original,Unemployment Claims Index
New York City,2020-03-14,11,6620,2019-03-16,5220,5266.666667,0.25696202523690104,79.55689829305138,79.55689829305138
New York City,2020-03-07,10,5680,2019-03-09,5380,7783.333333,-0.27023554600729055,137.03051642605632,100
New York City,2020-02-29,9,13500,2019-03-02,12750,7833.333333,0.7234042553924854,58.02469135555555,58.02469135555555
New York City,2020-02-22,8,5520,2019-02-23,5370,7883.333333,-0.29978858347990645,142.81400965579707,100
New York City,2020-02-15,7,5510,2019-02-16,5530,5660,-0.026501766784452298,102.72232304900182,100
New York City,2020-02-08,6,5830,2019-02-09,6080,6076.666667,-0.04059243011296812,104.23098914236708,100
New York City,2020-02-01,5,6110,2019-02-02,6620,6073.333333,0.006037321679804532,99.39989088379704,99.39989088379704
New York City,2020-01-25,4,5710,2019-01-26,5520,6153.333333,-0.0720476705889516,107.76415644483362,100
New York City,2020-01-18,3,6740,2019-01-19,6320,6713.333333,0.003972194687386963,99.6043521216617,99.6043521216617
New York City,2020-01-11,2,8190,2019-01-12,8300,10243.33333,-0.20045558060541993,125.07122503052501,100
New York City,2020-01-04,1,16390,2019-01-05,16110,10110,0.6211671612265084,61.68395363026236,61.68395363026236
